Last Earnings Date,Exp. Next Earnings Date (BBG),Confirmed / Estimated Date (BBG),Sales Result,Sales Result.1,Exp. Next Earnings Date (HC),Confirmed / Estimated Date (HC),Enterprise Value (US$),Market Cap ($US),Unnamed: 9,Unnamed: 10,Unnamed: 11,Price / NAV Consensus,Price / CF,Unnamed: 14,Unnamed: 15,FCF Yield %,Unnamed: 17,Price / Earnings,Unnamed: 19,Unnamed: 20,Net Debt / EBITDA, Debt / Equity,EV / EBITDA,Unnamed: 24,Unnamed: 25,Production guidance Coal (kt),Unnamed: 27,Unnamed: 28,Production Coal consensus (kt),Unnamed: 30,Unnamed: 31,EV/Production Coal ($/t),Unnamed: 33,Unnamed: 34,Attributable Reserves,Attributable M&I Resources,Attributable Total Resources,EV/Metrics Coal ($/t),Unnamed: 39,Unnamed: 40,Cash Costs Reported ($/t),Unnamed: 42,Unnamed: 43,Cash Cost Guidance ($/t),Unnamed: 45,Unnamed: 46,Unnamed: 47,Model (Y/N),Priority?,Stock of Interest,Comment
,,,"Date
(BBG)","Date
(HC)",,,,,,"Bloomberg
Ticker",Ticker,,FY2024,FY2025,FY2026,FY2024,FY2025,FY2024,FY2025,FY2026,FY2024,,FY2024,FY2025,FY2026,2024Y,2025Y,2026Y,FY2024,FY2025,FY2026,2024Y,2025Y,2026Y,Coal,Coal,Coal,Reserves,M&I,"M,I&I",2021Y,2022Y,2023Y,2024Y,2025Y,2026Y,,,,,
SNL_EARNINGS_RELEASE_DATE,EXPECTED_REPORT_DT,EXPECTED_REPORT_TYP,SALES_RESULT_DATE,,,,,,,,,SP_PNAVPS_FWD,SP_PCFPS_FWD,,,SP_FCF_EST,SP_FCF_FWD,SP_PE_FWD,,,IQ_NET_DEBT,SP_DEBT_TO_EQUITY,SP_TEV_EBITDA_FWD,,,SNL_CONS_PRODUCTION_PROJECTION_HIGH_TONNE,,,,,,,,,SNL_ATTRIBUTABLE_RESV_TONNES,SNL_ATTRIBUTABLE_M_AND_I_RESRC_TONNES,SNL_ATTRIBUTABLE_TOTAL_RESRC_TONNES,,,,SNL_CASH_COST_TONNE,,,SNL_PROJ_CASH_COST_HIGH_TONNE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,FQ0,FH0,,,,SNL_CONS_PRODUCTION_PROJECTION_LOW_TONNE,,,SP_COAL_PRODUCTION_EST,,,,,,MRQ,,,,,,,,,SNL_PROJ_CASH_COST_LOW_TONNE,,,,,,,
,,,,,,,,,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PEND,,,,,14/03/2025,Estimated,#PEND,#PEND,Exxaro Resources,EXX SJ Equity,JSE:EXX,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,,,,#PEND,#PEND,#PEND,,,,0,0,0,,,,#PEND,#PEND,#PEND,,,,,N,,NO,
#PEND,,,,10/12/2024,18/03/2025,Estimated,#PEND,#PEND,Thungela Resources,TGA SJ Equity,JSE:TGA,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,,,,#PEND,#PEND,#PEND,,,,0,0,0,,,,#PEND,#PEND,#PEND,,,,,N,,YES,
,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PEND,,,,,25/10/2024,Estimated,#PEND,#PEND,Peabody Energy,BTU US Equity,NYSE:BTU,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,,,,#PEND,#PEND,#PEND,,,,0,0,0,,,,#PEND,#PEND,#PEND,,,,,N,,YES,
#PEND,,,,,28/10/2024,Estimated,#PEND,#PEND,Alliance Resource Partners,CNR US Equity,NASDAQGS:ARLP,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,,,,#PEND,#PEND,#PEND,,,,0,0,0,,,,#PEND,#PEND,#PEND,,,,,N,,YES,
#PEND,,,,,25/10/2024,Estimated,#PEND,#PEND,Core Natural Resources,ARCH US Equity,NYSE:CNR,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,,,,#PEND,#PEND,#PEND,,,,0,0,0,,,,#PEND,#PEND,#PEND,,,,,N,,YES,
#PEND,,,,,01/11/2024,Estimated,#PEND,#PEND,Warrior Met Coal,HCC US Equity,NYSE:HCC,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,,,,#PEND,#PEND,#PEND,,,,0,0,0,,,,#PEND,#PEND,#PEND,,,,,N,,YES,
#PEND,,,,,01/11/2024,Estimated,#PEND,#PEND,Alpha Metallurgical Resources,AMR US Equity,NYSE:AMR,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,,,,#PEND,#PEND,#PEND,,,,0,0,0,,,,#PEND,#PEND,#PEND,,,,,N,,YES,
#PEND,,,,,07/11/2024,Estimated,#PEND,#PEND,Ramaco Resources,METC US Equity,NASDAQGS:METC,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,,,,#PEND,#PEND,#PEND,,,,0,0,0,,,,#PEND,#PEND,#PEND,,,,,N,,NO,
#PEND,,,,,04/11/2024,Estimated,#PEND,#PEND,Natural Resource Partners ,NRP US Equity,NYSE:NRP,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,,,,#PEND,#PEND,#PEND,,,,0,0,0,,,,#PEND,#PEND,#PEND,,,,,N,,YES,
,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PEND,,,,,30/07/2025,Estimated,#PEND,#PEND,Bathurst Resources,BRL AU Equity,ASX:BRL,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,,,,#PEND,#PEND,#PEND,,,,0,0,0,,,,#PEND,#PEND,#PEND,,,,,N,,NO,
#PEND,,,,,20/02/2025,Estimated,#PEND,#PEND,Coronado Global Resources,CRN AU Equity,ASX:CRN,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,,,,#PEND,#PEND,#PEND,,,,0,0,0,,,,#PEND,#PEND,#PEND,,,,,N,,YES,
#PEND,,,,25/10/2024,13/02/2025,Estimated,#PEND,#PEND,Whitehaven Coal,WHC AU Equity,ASX:WHC,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,,,,#PEND,#PEND,#PEND,,,,0,0,0,,,,#PEND,#PEND,#PEND,,,,,Y,,YES,
#PEND,,,,22/10/2024,25/02/2025,Estimated,#PEND,#PEND,Stanmore Resources,SMR AU Equity,ASX:SMR,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,,,,#PEND,#PEND,#PEND,,,,0,0,0,,,,#PEND,#PEND,#PEND,,,,,N,,YES,
#PEND,,,,17/10/2024,21/02/2025,Estimated,#PEND,#PEND,Yancoal Australia,YAL AU Equity,ASX:YAL,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,,,,#PEND,#PEND,#PEND,,,,0,0,0,,,,#PEND,#PEND,#PEND,,,,,N,,NO,
#PEND,,,,,01/09/2025,Estimated,#PEND,#PEND,TerraCom Limited,TER AU Equity,ASX:TER,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,,,,#PEND,#PEND,#PEND,,,,0,0,0,,,,#PEND,#PEND,#PEND,,,,,N,,NO,
#PEND,,,,18/11/2024,17/09/2025,Estimated,#PEND,#PEND,New Hope Corporation ,NHC AU Equity,ASX:NHC,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,,,,#PEND,#PEND,#PEND,,,,0,0,0,,,,#PEND,#PEND,#PEND,,,,,N,,YES,
,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
